name	kind	count	targets	steps	epoch	metric	value	median	path
le50_assign002_midfixed05_epoch14_fullprior_eval_10x512_n1000_2204gpu01234567	suite	512	10	1000	14	rdkit_basic_pass_rate_mean_over_targets	0.5978515625	0.625	samples/le50_assign002_midfixed05_epoch14_fullprior_eval_10x512_n1000_2204gpu01234567/suite_summary.json
le50_assign002_midfixed05_epoch14_fullprior_eval_10x64_n1000_2204gpu0123	suite	64	10	1000	14	rdkit_basic_pass_rate_mean_over_targets	0.6109375	0.59375	samples/le50_assign002_midfixed05_epoch14_fullprior_eval_10x64_n1000_2204gpu0123/suite_summary.json
le50_assign002_midfixed05_molgate08_epoch14_fullprior_eval_10x64_n1000_2204gpu4567	suite	64	10	1000	14	rdkit_basic_pass_rate_mean_over_targets	0.5796875	0.625	samples/le50_assign002_midfixed05_molgate08_epoch14_fullprior_eval_10x64_n1000_2204gpu4567/suite_summary.json
le50_assignneg_epoch19_fullprior_eval_10x128_n1000_2204gpu0234567	suite	128	10	1000	19	rdkit_basic_pass_rate_mean_over_targets	0.59765625	0.6171875	samples/le50_assignneg_epoch19_fullprior_eval_10x128_n1000_2204gpu0234567/suite_summary.json
le50_molcsp_assignbond_epoch4_fullprior_eval_10x64_n1000_2204gpu01234567	suite	64	10	1000	4	rdkit_basic_pass_rate_mean_over_targets	0.5375	0.515625	samples/le50_molcsp_assignbond_epoch4_fullprior_eval_10x64_n1000_2204gpu01234567/suite_summary.json
le50_molcsp_assignmask_epoch19_fullprior_eval_10x64_n1000_2204gpu4567	suite	64	10	1000	19	rdkit_basic_pass_rate_mean_over_targets	0.5796875	0.5859375	samples/le50_molcsp_assignmask_epoch19_fullprior_eval_10x64_n1000_2204gpu4567/suite_summary.json
le50_molcsp_assignmask_epoch4_fullprior_eval_10x64_n1000_2204gpu0123	suite	64	10	1000	4	rdkit_basic_pass_rate_mean_over_targets	0.578125	0.609375	samples/le50_molcsp_assignmask_epoch4_fullprior_eval_10x64_n1000_2204gpu0123/suite_summary.json
le50_molcsp_epoch294_fullprior_eval_v1	suite	512	10	1000	294	rdkit_basic_pass_rate_mean_over_targets	0.3935546875	0.3466796875	samples/le50_molcsp_epoch294_fullprior_eval_v1/suite_summary.json
le50_molcsp_topoloss_epoch364_fullprior_eval_v1_2203_targets2to10	suite	512	9	1000	364	rdkit_basic_pass_rate_mean_over_targets	0.4618055555555556	0.349609375	samples/le50_molcsp_topoloss_epoch364_fullprior_eval_v1_2203_targets2to10/suite_summary.json
le50_molcsp_topoloss_epoch364_fullprior_eval_v1_2204_targets6to10	suite	512	4	1000	364	rdkit_basic_pass_rate_mean_over_targets	0.3115234375	0.3154296875	samples/le50_molcsp_topoloss_epoch364_fullprior_eval_v1_2204_targets6to10/suite_summary.json
le50_heavyonly_epoch19_quick_val20_n1000_2204gpu0	summary_modes	20		1000		full_prior_pass_basic_rate	1.0		samples/le50_heavyonly_epoch19_quick_val20_n1000_2204gpu0/summary.json
le50_molcsp_best_x0hat_guidance_val20_n200	summary_modes			200		full_prior_pass_basic_rate			samples/le50_molcsp_best_x0hat_guidance_val20_n200/summary.json
le50_molcsp_cell010_best_tstart_cifs_val20_n200	summary_modes	20				full_prior_pass_basic_rate	0.0		samples/le50_molcsp_cell010_best_tstart_cifs_val20_n200/summary.json
le50_molcsp_cell010_best_tstart_parallel_val20_n200	summary_modes	20				full_prior_pass_basic_rate	0.05		samples/le50_molcsp_cell010_best_tstart_parallel_val20_n200/summary.json
le50_molcsp_cell025_best_after_resume_tstart_cifs_val20_n200	summary_modes	20				full_prior_pass_basic_rate	0.0		samples/le50_molcsp_cell025_best_after_resume_tstart_cifs_val20_n200/summary.json
le50_molcsp_cell025_best_after_resume_tstart_parallel_val20_n200	summary_modes	20				full_prior_pass_basic_rate	0.0		samples/le50_molcsp_cell025_best_after_resume_tstart_parallel_val20_n200/summary.json
le50_molcsp_cell025_bondhuber_epoch54_quick_val20_n200	summary_modes	20		200		full_prior_pass_basic_rate	1.0		samples/le50_molcsp_cell025_bondhuber_epoch54_quick_val20_n200/summary.json
le50_molcsp_cell025_tstart_sweep_projection_val20_n200	summary_modes	20		200		full_prior_pass_basic_rate	0.0		samples/le50_molcsp_cell025_tstart_sweep_projection_val20_n200/summary.json
le50_molcsp_epoch134_guidance_val20_n200	summary_modes			200		full_prior_pass_basic_rate			samples/le50_molcsp_epoch134_guidance_val20_n200/summary.json
le50_molcsp_epoch134_tstart_sweep_projection_val20_n200	summary_modes	20		200		full_prior_pass_basic_rate	0.0		samples/le50_molcsp_epoch134_tstart_sweep_projection_val20_n200/summary.json
le50_heavyonly_epoch19_quick_val20_n1000_2204gpu0	summary_full_prior.json	20				pass_basic_rate	1.0		samples/le50_heavyonly_epoch19_quick_val20_n1000_2204gpu0/summary_full_prior.json
le50_molcsp_cell010_best_tstart_cifs_val20_n200	summary_full_prior.json								samples/le50_molcsp_cell010_best_tstart_cifs_val20_n200/summary_full_prior.json
le50_molcsp_cell010_best_tstart_parallel_val20_n200	summary_full_prior.json								samples/le50_molcsp_cell010_best_tstart_parallel_val20_n200/summary_full_prior.json
le50_molcsp_cell010_strictN1000_cellfixed_val5	summary_full_prior.json								samples/le50_molcsp_cell010_strictN1000_cellfixed_val5/summary_full_prior.json
le50_molcsp_cell025_best_after_resume_tstart_cifs_val20_n200	summary_full_prior.json								samples/le50_molcsp_cell025_best_after_resume_tstart_cifs_val20_n200/summary_full_prior.json
le50_molcsp_cell025_best_after_resume_tstart_parallel_val20_n200	summary_full_prior.json								samples/le50_molcsp_cell025_best_after_resume_tstart_parallel_val20_n200/summary_full_prior.json
le50_molcsp_cell025_bondhuber_epoch54_quick_val20_n200	summary_full_prior.json	20				pass_basic_rate	1.0		samples/le50_molcsp_cell025_bondhuber_epoch54_quick_val20_n200/summary_full_prior.json
le50_molcsp_cell025_strictN1000_cellfixed_val5	summary_full_prior.json								samples/le50_molcsp_cell025_strictN1000_cellfixed_val5/summary_full_prior.json
